,,,,,,,,,,,,,,,,,,,,
,登録番号,氏名,コース,進入率(%),3連対率(%),1着率(%),2着率(%),3着率(%),平均ST,平均スタート順,,,,,,,,,,
,4262,馬場貴也 ,2,17.5%,68.2%,22.7%,40.9%,4.5%,0.12,2.40,,,,,,,,,,
,4262,馬場貴也 ,3,18.3%,60.9%,17.4%,26.1%,17.4%,0.12,2.90,,,,,,,,,,
,4262,馬場貴也 ,4,13.5%,52.9%,11.8%,23.5%,17.6%,0.15,2.80,,,,,,,,,,
,4262,馬場貴也 ,5,16.7%,52.4%,23.8%,19.0%,9.5%,0.15,3.80,,,,,,,,,,
,4262,馬場貴也 ,6,11.1%,42.9%,7.1%,7.1%,28.6%,0.16,3.90,,,,,,,,,,
,4762,藤原啓史朗 ,1,26.1%,100.0%,90.3%,3.2%,6.5%,0.12,2.60,,,,,,,,,,
,4762,藤原啓史朗 ,2,13.4%,56.2%,12.5%,18.8%,25.0%,0.14,2.90,,,,,,,,,,
,4762,藤原啓史朗 ,3,15.1%,77.8%,38.9%,22.2%,16.7%,0.11,2.20,,,,,,,,,,
,4762,藤原啓史朗 ,4,15.1%,72.2%,22.2%,33.3%,16.7%,0.13,2.20,,,,,,,,,,
,4762,藤原啓史朗 ,5,10.9%,61.5%,15.4%,23.1%,23.1%,0.11,2.00,,,,,,,,,,
,4762,藤原啓史朗 ,6,19.3%,52.2%,13.0%,17.4%,21.7%,0.12,2.50,,,,,,,,,,
,5142, 常住蓮 ,1,30.5%,94.1%,72.5%,19.6%,2.0%,0.12,2.10,,,,,,,,,,
,5142, 常住蓮 ,2,14.4%,58.3%,16.7%,12.5%,29.2%,0.13,2.50,,,,,,,,,,
,5142, 常住蓮 ,3,14.4%,91.7%,37.5%,33.3%,20.8%,0.13,2.70,,,,,,,,,,
,5142, 常住蓮 ,4,17.4%,75.9%,27.6%,20.7%,27.6%,0.11,2.20,,,,,,,,,,
,5142, 常住蓮 ,5,14.4%,79.2%,16.7%,41.7%,20.8%,0.12,2.30,,,,,,,,,,
,5142, 常住蓮 ,6,9.0%,46.7%,6.7%,13.3%,26.7%,0.14,2.90,,,,,,,,,,
