,,,,,,,,,,,,,,,,,,,,
,登録番号,氏名,コース,進入率(%),3連対率(%),1着率(%),2着率(%),3着率(%),平均ST,平均スタート順,,,,,,,,,,
,5311,小林京平,6,29.2%,25.8%,0.0%,9.7%,16.1%,0.18,3.90,,,,,,,,,,
,3998,冨成謙児,1,15.0%,68.8%,25.0%,37.5%,6.2%,0.11,2.40,,,,,,,,,,
,3998,冨成謙児,2,17.8%,42.1%,0.0%,26.3%,15.8%,0.16,3.80,,,,,,,,,,
,3998,冨成謙児,3,15.0%,43.8%,6.2%,12.5%,25.0%,0.16,2.90,,,,,,,,,,
,3998,冨成謙児,4,16.8%,50.0%,0.0%,16.7%,33.3%,0.16,3.60,,,,,,,,,,
,3998,冨成謙児,5,19.6%,28.6%,0.0%,4.8%,23.8%,0.19,4.10,,,,,,,,,,
,3998,冨成謙児,6,15.9%,11.8%,0.0%,0.0%,11.8%,0.22,5.20,,,,,,,,,,
,4332,村上彰一,1,14.6%,66.7%,25.0%,16.7%,25.0%,0.15,3.80,,,,,,,,,,
,4332,村上彰一,2,18.3%,33.3%,6.7%,13.3%,13.3%,0.20,4.00,,,,,,,,,,
,4332,村上彰一,3,15.9%,30.8%,0.0%,30.8%,0.0%,0.20,3.80,,,,,,,,,,
,4332,村上彰一,4,18.3%,46.7%,0.0%,20.0%,26.7%,0.19,3.70,,,,,,,,,,
,4332,村上彰一,5,17.1%,35.7%,0.0%,7.1%,28.6%,0.20,4.00,,,,,,,,,,
,4332,村上彰一,6,15.9%,15.4%,0.0%,7.7%,7.7%,0.21,4.60,,,,,,,,,,
,4368,山口隆史,1,11.6%,92.3%,46.2%,23.1%,23.1%,0.16,2.80,,,,,,,,,,
,4368,山口隆史,2,17.9%,40.0%,5.0%,20.0%,15.0%,0.16,4.00,,,,,,,,,,
,4368,山口隆史,3,19.6%,27.3%,4.5%,13.6%,9.1%,0.21,4.00,,,,,,,,,,
,4368,山口隆史,4,19.6%,22.7%,0.0%,9.1%,13.6%,0.20,3.80,,,,,,,,,,
,4368,山口隆史,5,17.0%,47.4%,0.0%,15.8%,31.6%,0.18,4.50,,,,,,,,,,
,4368,山口隆史,6,14.3%,18.8%,0.0%,0.0%,18.8%,0.23,5.40,,,,,,,,,,
,5046,松山裕基,1,13.0%,46.7%,26.7%,0.0%,20.0%,0.15,2.30,,,,,,,,,,
,5046,松山裕基,2,20.9%,37.5%,0.0%,16.7%,20.8%,0.16,3.80,,,,,,,,,,
,5046,松山裕基,3,19.1%,45.5%,4.5%,18.2%,22.7%,0.13,2.90,,,,,,,,,,
,5046,松山裕基,4,13.0%,26.7%,0.0%,13.3%,13.3%,0.17,3.50,,,,,,,,,,
,5046,松山裕基,5,22.6%,50.0%,11.5%,3.8%,34.6%,0.18,3.20,,,,,,,,,,
,5046,松山裕基,6,11.3%,15.4%,0.0%,7.7%,7.7%,0.17,3.20,,,,,,,,,,
,5250,嶋田有里,1,12.3%,40.0%,30.0%,10.0%,0.0%,0.19,2.90,,,,,,,,,,
,5250,嶋田有里,2,18.5%,40.0%,13.3%,13.3%,13.3%,0.21,3.80,,,,,,,,,,
,5250,嶋田有里,3,21.0%,58.8%,5.9%,35.3%,17.6%,0.15,2.60,,,,,,,,,,
,5250,嶋田有里,4,18.5%,26.7%,6.7%,6.7%,13.3%,0.19,3.30,,,,,,,,,,
,5250,嶋田有里,5,14.8%,16.7%,0.0%,8.3%,8.3%,0.20,4.00,,,,,,,,,,
,5250,嶋田有里,6,14.8%,8.3%,8.3%,0.0%,0.0%,0.26,5.10,,,,,,,,,,
,3589,西村勝,1,13.5%,66.7%,25.0%,25.0%,16.7%,0.18,3.60,,,,,,,,,,
,3589,西村勝,2,23.6%,47.6%,9.5%,14.3%,23.8%,0.16,3.60,,,,,,,,,,
,3589,西村勝,3,12.4%,45.5%,0.0%,27.3%,18.2%,0.18,4.10,,,,,,,,,,
,3589,西村勝,4,16.9%,26.7%,6.7%,13.3%,6.7%,0.14,2.40,,,,,,,,,,
,3589,西村勝,5,21.3%,21.1%,0.0%,10.5%,10.5%,0.14,2.60,,,,,,,,,,
,3589,西村勝,6,12.4%,9.1%,0.0%,0.0%,9.1%,0.21,4.40,,,,,,,,,,
,3352,小川晃司,1,- -,- -,0.0%,0.0%,0.0%,- -,- -,,,,,,,,,,
,3352,小川晃司,2,- -,- -,0.0%,0.0%,0.0%,- -,- -,,,,,,,,,,
,3352,小川晃司,3,- -,- -,0.0%,0.0%,0.0%,- -,- -,,,,,,,,,,
,3352,小川晃司,4,- -,- -,0.0%,0.0%,0.0%,- -,- -,,,,,,,,,,
,3352,小川晃司,5,- -,- -,0.0%,0.0%,0.0%,- -,- -,,,,,,,,,,
,3352,小川晃司,6,100.0%,39.4%,3.0%,11.1%,25.3%,0.17,3.50,,,,,,,,,,
,4167,片岡秀樹,1,13.0%,71.4%,21.4%,21.4%,28.6%,0.18,3.50,,,,,,,,,,
,4167,片岡秀樹,2,16.7%,50.0%,11.1%,22.2%,16.7%,0.16,2.60,,,,,,,,,,
,4167,片岡秀樹,3,15.7%,52.9%,5.9%,35.3%,11.8%,0.14,2.90,,,,,,,,,,
,4167,片岡秀樹,4,15.7%,17.6%,0.0%,5.9%,11.8%,0.14,3.30,,,,,,,,,,
,4167,片岡秀樹,5,19.4%,33.3%,0.0%,9.5%,23.8%,0.16,2.80,,,,,,,,,,
,4167,片岡秀樹,6,19.4%,9.5%,0.0%,0.0%,9.5%,0.15,3.30,,,,,,,,,,
,4176,樋口喜彦,1,11.9%,58.3%,25.0%,8.3%,25.0%,0.17,3.10,,,,,,,,,,
,4176,樋口喜彦,2,17.8%,44.4%,16.7%,22.2%,5.6%,0.14,3.60,,,,,,,,,,
,4176,樋口喜彦,3,19.8%,40.0%,5.0%,15.0%,20.0%,0.14,3.30,,,,,,,,,,
,4176,樋口喜彦,4,16.8%,11.8%,0.0%,5.9%,5.9%,0.16,3.20,,,,,,,,,,
,4176,樋口喜彦,5,22.8%,39.1%,4.3%,8.7%,26.1%,0.15,3.10,,,,,,,,,,
,4176,樋口喜彦,6,10.9%,27.3%,9.1%,0.0%,18.2%,0.16,3.40,,,,,,,,,,
,5031,渡辺空依,1,11.6%,75.0%,37.5%,12.5%,25.0%,0.20,3.60,,,,,,,,,,
,5031,渡辺空依,2,17.4%,66.7%,8.3%,41.7%,16.7%,0.19,4.30,,,,,,,,,,
,5031,渡辺空依,3,17.4%,25.0%,0.0%,16.7%,8.3%,0.16,3.10,,,,,,,,,,
,5031,渡辺空依,4,20.3%,28.6%,7.1%,7.1%,14.3%,0.18,3.50,,,,,,,,,,
,5031,渡辺空依,5,17.4%,25.0%,0.0%,0.0%,25.0%,0.23,4.10,,,,,,,,,,
,5031,渡辺空依,6,15.9%,9.1%,0.0%,0.0%,9.1%,0.23,5.50,,,,,,,,,,
,5198,奥村明日香,1,9.0%,37.5%,0.0%,25.0%,12.5%,0.20,4.30,,,,,,,,,,
,5198,奥村明日香,2,21.3%,52.6%,15.8%,10.5%,26.3%,0.22,4.00,,,,,,,,,,
,5198,奥村明日香,3,19.1%,41.2%,0.0%,23.5%,17.6%,0.22,4.50,,,,,,,,,,
,5198,奥村明日香,4,21.3%,15.8%,0.0%,10.5%,5.3%,0.24,4.50,,,,,,,,,,
,5198,奥村明日香,5,19.1%,47.1%,0.0%,5.9%,41.2%,0.17,4.20,,,,,,,,,,
,5198,奥村明日香,6,10.1%,0.0%,0.0%,0.0%,0.0%,0.18,3.90,,,,,,,,,,
,3340,池田雷太,1,17.4%,75.0%,40.0%,20.0%,15.0%,0.17,3.60,,,,,,,,,,
,3340,池田雷太,2,19.1%,36.4%,9.1%,27.3%,0.0%,0.16,3.30,,,,,,,,,,
,3340,池田雷太,3,17.4%,35.0%,0.0%,30.0%,5.0%,0.20,3.50,,,,,,,,,,
,3340,池田雷太,4,13.0%,20.0%,6.7%,6.7%,6.7%,0.17,3.50,,,,,,,,,,
,3340,池田雷太,5,17.4%,15.0%,5.0%,10.0%,0.0%,0.23,4.70,,,,,,,,,,
,3340,池田雷太,6,15.7%,11.1%,0.0%,5.6%,5.6%,0.20,4.70,,,,,,,,,,
,3551,藤田美代,1,15.3%,72.7%,18.2%,36.4%,18.2%,0.21,3.00,,,,,,,,,,
,3551,藤田美代,2,19.4%,57.1%,7.1%,28.6%,21.4%,0.16,3.50,,,,,,,,,,
,3551,藤田美代,3,19.4%,28.6%,7.1%,0.0%,21.4%,0.16,4.10,,,,,,,,,,
,3551,藤田美代,4,16.7%,25.0%,0.0%,8.3%,16.7%,0.19,2.90,,,,,,,,,,
,3551,藤田美代,5,15.3%,9.1%,0.0%,9.1%,0.0%,0.17,3.50,,,,,,,,,,
,3551,藤田美代,6,13.9%,20.0%,0.0%,0.0%,20.0%,0.18,3.10,,,,,,,,,,
,3718,伊達正利,1,13.6%,86.7%,66.7%,13.3%,6.7%,0.15,2.30,,,,,,,,,,
,3718,伊達正利,2,19.1%,47.6%,4.8%,19.0%,23.8%,0.17,3.70,,,,,,,,,,
,3718,伊達正利,3,15.5%,29.4%,0.0%,23.5%,5.9%,0.18,3.90,,,,,,,,,,
,3718,伊達正利,4,14.5%,18.8%,0.0%,12.5%,6.2%,0.16,3.50,,,,,,,,,,
,3718,伊達正利,5,22.7%,20.0%,0.0%,4.0%,16.0%,0.18,3.50,,,,,,,,,,
,3718,伊達正利,6,14.5%,6.2%,0.0%,0.0%,6.2%,0.20,4.30,,,,,,,,,,
,3964,宮地博士,1,13.9%,73.3%,33.3%,26.7%,13.3%,0.19,3.40,,,,,,,,,,
,3964,宮地博士,2,17.6%,36.8%,10.5%,21.1%,5.3%,0.21,4.90,,,,,,,,,,
,3964,宮地博士,3,18.5%,35.0%,0.0%,15.0%,20.0%,0.20,4.10,,,,,,,,,,
,3964,宮地博士,4,12.0%,23.1%,0.0%,23.1%,0.0%,0.21,4.00,,,,,,,,,,
,3964,宮地博士,5,18.5%,20.0%,5.0%,0.0%,15.0%,0.18,4.30,,,,,,,,,,
,3964,宮地博士,6,19.4%,9.5%,0.0%,4.8%,4.8%,0.24,5.10,,,,,,,,,,
,4461,安田吉宏,1,16.9%,61.5%,23.1%,15.4%,23.1%,0.14,3.30,,,,,,,,,,
,4461,安田吉宏,2,14.3%,36.4%,9.1%,9.1%,18.2%,0.18,3.40,,,,,,,,,,
,4461,安田吉宏,3,14.3%,45.5%,9.1%,9.1%,27.3%,0.21,4.20,,,,,,,,,,
,4461,安田吉宏,4,20.8%,37.5%,0.0%,18.8%,18.8%,0.16,3.80,,,,,,,,,,
,4461,安田吉宏,5,15.6%,25.0%,0.0%,0.0%,25.0%,0.18,4.00,,,,,,,,,,
,4461,安田吉宏,6,18.2%,28.6%,0.0%,7.1%,21.4%,0.16,4.30,,,,,,,,,,
,4924,中北涼,1,13.3%,64.3%,28.6%,21.4%,14.3%,0.19,3.40,,,,,,,,,,
,4924,中北涼,2,20.0%,47.6%,4.8%,28.6%,14.3%,0.14,3.10,,,,,,,,,,
,4924,中北涼,3,20.0%,28.6%,0.0%,4.8%,23.8%,0.16,3.30,,,,,,,,,,
,4924,中北涼,4,17.1%,16.7%,0.0%,0.0%,16.7%,0.20,3.80,,,,,,,,,,
,4924,中北涼,5,20.0%,42.9%,0.0%,14.3%,28.6%,0.20,3.50,,,,,,,,,,
,4924,中北涼,6,9.5%,0.0%,0.0%,0.0%,0.0%,0.21,5.10,,,,,,,,,,
,5144,中尾彩香,1,11.0%,54.5%,27.3%,27.3%,0.0%,0.17,4.20,,,,,,,,,,
,5144,中尾彩香,2,20.0%,45.0%,10.0%,25.0%,10.0%,0.17,3.40,,,,,,,,,,
,5144,中尾彩香,3,16.0%,50.0%,0.0%,18.8%,31.2%,0.17,2.90,,,,,,,,,,
,5144,中尾彩香,4,17.0%,52.9%,5.9%,29.4%,17.6%,0.17,3.60,,,,,,,,,,
,5144,中尾彩香,5,21.0%,19.0%,0.0%,9.5%,9.5%,0.17,3.10,,,,,,,,,,
,5144,中尾彩香,6,15.0%,13.3%,0.0%,6.7%,6.7%,0.19,3.90,,,,,,,,,,
,3869,井芹大志,1,15.3%,88.9%,33.3%,27.8%,27.8%,0.13,2.80,,,,,,,,,,
,3869,井芹大志,2,17.8%,28.6%,9.5%,9.5%,9.5%,0.18,3.90,,,,,,,,,,
,3869,井芹大志,3,16.9%,50.0%,0.0%,15.0%,35.0%,0.17,3.70,,,,,,,,,,
,3869,井芹大志,4,16.1%,26.3%,0.0%,15.8%,10.5%,0.18,3.30,,,,,,,,,,
,3869,井芹大志,5,20.3%,33.3%,4.2%,8.3%,20.8%,0.18,3.90,,,,,,,,,,
,3869,井芹大志,6,13.6%,12.5%,0.0%,6.2%,6.2%,0.19,3.60,,,,,,,,,,
,4327,加藤翔,1,13.2%,60.0%,33.3%,6.7%,20.0%,0.17,3.30,,,,,,,,,,
,4327,加藤翔,2,17.5%,25.0%,5.0%,5.0%,15.0%,0.20,4.60,,,,,,,,,,
,4327,加藤翔,3,22.8%,34.6%,7.7%,15.4%,11.5%,0.17,3.50,,,,,,,,,,
,4327,加藤翔,4,17.5%,30.0%,15.0%,5.0%,10.0%,0.17,3.80,,,,,,,,,,
,4327,加藤翔,5,18.4%,28.6%,4.8%,4.8%,19.0%,0.18,3.40,,,,,,,,,,
,4327,加藤翔,6,10.5%,16.7%,0.0%,16.7%,0.0%,0.20,4.50,,,,,,,,,,
,3523,寳田亮治,1,14.0%,66.7%,16.7%,33.3%,16.7%,0.16,3.40,,,,,,,,,,
,3523,寳田亮治,2,15.1%,30.8%,7.7%,15.4%,7.7%,0.19,4.30,,,,,,,,,,
,3523,寳田亮治,3,17.4%,40.0%,0.0%,13.3%,26.7%,0.20,4.70,,,,,,,,,,
,3523,寳田亮治,4,17.4%,26.7%,0.0%,6.7%,20.0%,0.16,3.60,,,,,,,,,,
,3523,寳田亮治,5,15.1%,23.1%,0.0%,0.0%,23.1%,0.21,3.80,,,,,,,,,,
,3523,寳田亮治,6,20.9%,33.3%,0.0%,16.7%,16.7%,0.22,4.30,,,,,,,,,,
,3910,松下知幸,1,12.8%,80.0%,46.7%,26.7%,6.7%,0.15,2.40,,,,,,,,,,
,3910,松下知幸,2,19.7%,21.7%,8.7%,8.7%,4.3%,0.16,3.30,,,,,,,,,,
,3910,松下知幸,3,18.8%,36.4%,9.1%,18.2%,9.1%,0.14,2.90,,,,,,,,,,
,3910,松下知幸,4,13.7%,25.0%,6.2%,0.0%,18.8%,0.16,3.30,,,,,,,,,,
,3910,松下知幸,5,23.9%,17.9%,7.1%,7.1%,3.6%,0.19,4.00,,,,,,,,,,
,3910,松下知幸,6,11.1%,15.4%,0.0%,0.0%,15.4%,0.18,4.40,,,,,,,,,,
,4143,浦田晃嗣,1,10.8%,60.0%,40.0%,20.0%,0.0%,0.20,3.20,,,,,,,,,,
,4143,浦田晃嗣,2,16.1%,26.7%,0.0%,20.0%,6.7%,0.17,3.90,,,,,,,,,,
,4143,浦田晃嗣,3,20.4%,42.1%,0.0%,26.3%,15.8%,0.17,3.60,,,,,,,,,,
,4143,浦田晃嗣,4,18.3%,41.2%,5.9%,5.9%,29.4%,0.15,2.40,,,,,,,,,,
,4143,浦田晃嗣,5,21.5%,35.0%,0.0%,15.0%,20.0%,0.14,2.90,,,,,,,,,,
,4143,浦田晃嗣,6,12.9%,8.3%,0.0%,0.0%,8.3%,0.16,3.10,,,,,,,,,,
,4651,佐藤大騎,1,11.4%,66.7%,50.0%,8.3%,8.3%,0.18,3.10,,,,,,,,,,
,4651,佐藤大騎,2,16.2%,41.2%,11.8%,17.6%,11.8%,0.16,3.10,,,,,,,,,,
,4651,佐藤大騎,3,18.1%,42.1%,10.5%,21.1%,10.5%,0.17,2.90,,,,,,,,,,
,4651,佐藤大騎,4,15.2%,6.2%,6.2%,0.0%,0.0%,0.14,2.60,,,,,,,,,,
,4651,佐藤大騎,5,22.9%,45.8%,0.0%,16.7%,29.2%,0.16,2.90,,,,,,,,,,
,4651,佐藤大騎,6,16.2%,17.6%,0.0%,0.0%,17.6%,0.18,3.90,,,,,,,,,,
,4941,孫崎百世,1,7.6%,66.7%,16.7%,33.3%,16.7%,0.21,4.40,,,,,,,,,,
,4941,孫崎百世,2,20.3%,56.2%,12.5%,18.8%,25.0%,0.22,4.90,,,,,,,,,,
,4941,孫崎百世,3,16.5%,53.8%,23.1%,23.1%,7.7%,0.21,4.10,,,,,,,,,,
,4941,孫崎百世,4,20.3%,12.5%,0.0%,6.2%,6.2%,0.25,5.40,,,,,,,,,,
,4941,孫崎百世,5,24.1%,26.3%,10.5%,0.0%,15.8%,0.22,4.50,,,,,,,,,,
,4941,孫崎百世,6,11.4%,11.1%,0.0%,11.1%,0.0%,0.21,5.00,,,,,,,,,,
,5352,西岡蒼志,1,1.0%,0.0%,0.0%,0.0%,0.0%,0.31,5.00,,,,,,,,,,
,5352,西岡蒼志,2,- -,- -,0.0%,0.0%,0.0%,- -,- -,,,,,,,,,,
,5352,西岡蒼志,3,2.9%,33.3%,0.0%,0.0%,33.3%,0.13,2.70,,,,,,,,,,
,5352,西岡蒼志,4,25.5%,42.3%,11.5%,11.5%,19.2%,0.15,2.90,,,,,,,,,,
,5352,西岡蒼志,5,25.5%,50.0%,7.7%,23.1%,19.2%,0.15,2.90,,,,,,,,,,
,5352,西岡蒼志,6,45.1%,15.2%,0.0%,2.2%,13.0%,0.15,3.10,,,,,,,,,,
,4219,本岡勝利,1,11.4%,57.1%,21.4%,21.4%,14.3%,0.17,3.10,,,,,,,,,,
,4219,本岡勝利,2,18.7%,39.1%,0.0%,8.7%,30.4%,0.16,3.70,,,,,,,,,,
,4219,本岡勝利,3,18.7%,43.5%,0.0%,26.1%,17.4%,0.15,2.90,,,,,,,,,,
,4219,本岡勝利,4,17.1%,23.8%,0.0%,9.5%,14.3%,0.15,3.60,,,,,,,,,,
,4219,本岡勝利,5,21.1%,26.9%,11.5%,7.7%,7.7%,0.16,3.50,,,,,,,,,,
,4219,本岡勝利,6,13.0%,6.2%,0.0%,0.0%,6.2%,0.20,4.50,,,,,,,,,,
,5208,屋良龍紀,1,11.8%,83.3%,50.0%,25.0%,8.3%,0.17,2.70,,,,,,,,,,
,5208,屋良龍紀,2,17.6%,50.0%,16.7%,22.2%,11.1%,0.15,2.90,,,,,,,,,,
,5208,屋良龍紀,3,22.5%,34.8%,4.3%,4.3%,26.1%,0.15,2.40,,,,,,,,,,
,5208,屋良龍紀,4,17.6%,33.3%,5.6%,16.7%,11.1%,0.15,3.10,,,,,,,,,,
,5208,屋良龍紀,5,16.7%,0.0%,0.0%,0.0%,0.0%,0.14,3.30,,,,,,,,,,
,5208,屋良龍紀,6,13.7%,21.4%,0.0%,0.0%,21.4%,0.17,3.60,,,,,,,,,,
,5273,山下拓巳,1,14.4%,50.0%,37.5%,12.5%,0.0%,0.21,3.90,,,,,,,,,,
,5273,山下拓巳,2,15.3%,58.8%,17.6%,29.4%,11.8%,0.17,4.10,,,,,,,,,,
,5273,山下拓巳,3,18.9%,38.1%,9.5%,19.0%,9.5%,0.16,2.50,,,,,,,,,,
,5273,山下拓巳,4,19.8%,22.7%,0.0%,13.6%,9.1%,0.21,3.50,,,,,,,,,,
,5273,山下拓巳,5,19.8%,36.4%,13.6%,4.5%,18.2%,0.17,3.70,,,,,,,,,,
,5273,山下拓巳,6,11.7%,0.0%,0.0%,0.0%,0.0%,0.14,2.90,,,,,,,,,,
,3974,深山祐二,1,11.4%,80.0%,30.0%,40.0%,10.0%,0.12,2.10,,,,,,,,,,
,3974,深山祐二,2,13.6%,25.0%,8.3%,8.3%,8.3%,0.16,3.80,,,,,,,,,,
,3974,深山祐二,3,22.7%,45.0%,10.0%,15.0%,20.0%,0.12,2.60,,,,,,,,,,
,3974,深山祐二,4,21.6%,26.3%,5.3%,10.5%,10.5%,0.16,3.10,,,,,,,,,,
,3974,深山祐二,5,18.2%,31.2%,0.0%,6.2%,25.0%,0.16,3.30,,,,,,,,,,
,3974,深山祐二,6,12.5%,0.0%,0.0%,0.0%,0.0%,0.22,4.70,,,,,,,,,,
,4169,多田有佑,1,12.5%,63.6%,45.5%,0.0%,18.2%,0.20,3.80,,,,,,,,,,
,4169,多田有佑,2,14.8%,38.5%,7.7%,30.8%,0.0%,0.22,4.10,,,,,,,,,,
,4169,多田有佑,3,19.3%,35.3%,11.8%,11.8%,11.8%,0.20,4.60,,,,,,,,,,
,4169,多田有佑,4,19.3%,17.6%,0.0%,0.0%,17.6%,0.19,4.30,,,,,,,,,,
,4169,多田有佑,5,18.2%,31.2%,6.2%,6.2%,18.8%,0.22,3.80,,,,,,,,,,
,4169,多田有佑,6,15.9%,0.0%,0.0%,0.0%,0.0%,0.22,5.10,,,,,,,,,,
,5148,松本怜,1,16.2%,61.5%,30.8%,15.4%,15.4%,0.19,4.00,,,,,,,,,,
,5148,松本怜,2,13.8%,45.5%,0.0%,45.5%,0.0%,0.14,3.70,,,,,,,,,,
,5148,松本怜,3,18.8%,46.7%,13.3%,6.7%,26.7%,0.21,3.50,,,,,,,,,,
,5148,松本怜,4,16.2%,53.8%,15.4%,15.4%,23.1%,0.17,3.70,,,,,,,,,,
,5148,松本怜,5,13.8%,9.1%,0.0%,0.0%,9.1%,0.19,4.00,,,,,,,,,,
,5148,松本怜,6,21.2%,11.8%,0.0%,0.0%,11.8%,0.20,4.30,,,,,,,,,,
,3430,角浜修,1,13.3%,86.7%,33.3%,46.7%,6.7%,0.14,3.10,,,,,,,,,,
,3430,角浜修,2,18.6%,42.9%,19.0%,9.5%,14.3%,0.19,3.90,,,,,,,,,,
,3430,角浜修,3,18.6%,42.9%,9.5%,19.0%,14.3%,0.19,3.90,,,,,,,,,,
,3430,角浜修,4,21.2%,20.8%,4.2%,8.3%,8.3%,0.16,3.70,,,,,,,,,,
,3430,角浜修,5,16.8%,21.1%,5.3%,5.3%,10.5%,0.16,3.80,,,,,,,,,,
,3430,角浜修,6,11.5%,0.0%,0.0%,0.0%,0.0%,0.19,4.50,,,,,,,,,,
,4708,半田尚也,1,13.4%,61.5%,23.1%,15.4%,23.1%,0.12,2.20,,,,,,,,,,
,4708,半田尚也,2,14.4%,21.4%,0.0%,14.3%,7.1%,0.20,4.50,,,,,,,,,,
,4708,半田尚也,3,21.6%,38.1%,0.0%,19.0%,19.0%,0.18,3.40,,,,,,,,,,
,4708,半田尚也,4,17.5%,41.2%,5.9%,11.8%,23.5%,0.18,4.00,,,,,,,,,,
,4708,半田尚也,5,16.5%,37.5%,0.0%,6.2%,31.2%,0.18,3.40,,,,,,,,,,
,4708,半田尚也,6,16.5%,12.5%,0.0%,0.0%,12.5%,0.20,4.60,,,,,,,,,,
,3653,品川賢次,1,15.9%,57.1%,35.7%,21.4%,0.0%,0.16,3.50,,,,,,,,,,
,3653,品川賢次,2,19.3%,41.2%,5.9%,11.8%,23.5%,0.20,4.20,,,,,,,,,,
,3653,品川賢次,3,17.0%,20.0%,0.0%,13.3%,6.7%,0.16,3.70,,,,,,,,,,
,3653,品川賢次,4,14.8%,46.2%,7.7%,15.4%,23.1%,0.21,4.00,,,,,,,,,,
,3653,品川賢次,5,14.8%,15.4%,0.0%,7.7%,7.7%,0.17,4.00,,,,,,,,,,
,3653,品川賢次,6,18.2%,6.2%,0.0%,0.0%,6.2%,0.19,4.60,,,,,,,,,,
,3906,飯山晃三,1,13.5%,78.6%,35.7%,35.7%,7.1%,0.14,3.00,,,,,,,,,,
,3906,飯山晃三,2,21.2%,36.4%,4.5%,13.6%,18.2%,0.18,3.70,,,,,,,,,,
,3906,飯山晃三,3,18.3%,31.6%,5.3%,26.3%,0.0%,0.19,3.50,,,,,,,,,,
,3906,飯山晃三,4,13.5%,14.3%,7.1%,7.1%,0.0%,0.18,4.10,,,,,,,,,,
,3906,飯山晃三,5,18.3%,31.6%,10.5%,10.5%,10.5%,0.19,3.90,,,,,,,,,,
,3906,飯山晃三,6,15.4%,31.2%,6.2%,6.2%,18.8%,0.21,4.40,,,,,,,,,,
,4346,前田健太郎,1,10.8%,72.7%,36.4%,27.3%,9.1%,0.13,2.90,,,,,,,,,,
,4346,前田健太郎,2,21.6%,50.0%,9.1%,22.7%,18.2%,0.22,4.30,,,,,,,,,,
,4346,前田健太郎,3,16.7%,52.9%,11.8%,29.4%,11.8%,0.13,2.70,,,,,,,,,,
,4346,前田健太郎,4,15.7%,31.2%,6.2%,18.8%,6.2%,0.18,3.90,,,,,,,,,,
,4346,前田健太郎,5,21.6%,13.6%,9.1%,4.5%,0.0%,0.16,3.30,,,,,,,,,,
,4346,前田健太郎,6,13.7%,14.3%,0.0%,0.0%,14.3%,0.18,3.70,,,,,,,,,,
,4429,豊田泰洋,1,13.3%,58.8%,41.2%,5.9%,11.8%,0.16,2.80,,,,,,,,,,
,4429,豊田泰洋,2,18.0%,47.8%,8.7%,17.4%,21.7%,0.15,3.00,,,,,,,,,,
,4429,豊田泰洋,3,19.5%,40.0%,4.0%,8.0%,28.0%,0.16,2.90,,,,,,,,,,
,4429,豊田泰洋,4,17.2%,31.8%,4.5%,9.1%,18.2%,0.19,3.40,,,,,,,,,,
,4429,豊田泰洋,5,16.4%,28.6%,4.8%,4.8%,19.0%,0.17,3.30,,,,,,,,,,
,4429,豊田泰洋,6,15.6%,15.0%,0.0%,5.0%,10.0%,0.21,4.80,,,,,,,,,,
,4669,井上茂,1,12.3%,84.6%,46.2%,15.4%,23.1%,0.12,2.10,,,,,,,,,,
,4669,井上茂,2,16.0%,41.2%,0.0%,17.6%,23.5%,0.17,4.40,,,,,,,,,,
,4669,井上茂,3,17.9%,31.6%,0.0%,15.8%,15.8%,0.16,3.40,,,,,,,,,,
,4669,井上茂,4,18.9%,40.0%,10.0%,15.0%,15.0%,0.17,3.20,,,,,,,,,,
,4669,井上茂,5,18.9%,15.0%,0.0%,0.0%,15.0%,0.21,4.20,,,,,,,,,,
,4669,井上茂,6,16.0%,11.8%,0.0%,0.0%,11.8%,0.18,4.20,,,,,,,,,,
,4752,西尾亮輔,1,11.5%,53.3%,13.3%,26.7%,13.3%,0.16,3.10,,,,,,,,,,
,4752,西尾亮輔,2,22.3%,41.4%,3.4%,17.2%,20.7%,0.16,3.50,,,,,,,,,,
,4752,西尾亮輔,3,15.4%,55.0%,0.0%,25.0%,30.0%,0.19,3.20,,,,,,,,,,
,4752,西尾亮輔,4,21.5%,39.3%,0.0%,21.4%,17.9%,0.17,3.30,,,,,,,,,,
,4752,西尾亮輔,5,18.5%,37.5%,4.2%,8.3%,25.0%,0.18,3.80,,,,,,,,,,
,4752,西尾亮輔,6,10.8%,7.1%,0.0%,0.0%,7.1%,0.18,3.80,,,,,,,,,,
,5143,常盤海心,1,9.4%,33.3%,22.2%,11.1%,0.0%,0.22,5.30,,,,,,,,,,
,5143,常盤海心,2,21.9%,38.1%,4.8%,19.0%,14.3%,0.21,4.60,,,,,,,,,,
,5143,常盤海心,3,19.8%,47.4%,10.5%,15.8%,21.1%,0.17,4.40,,,,,,,,,,
,5143,常盤海心,4,19.8%,36.8%,0.0%,5.3%,31.6%,0.18,3.90,,,,,,,,,,
,5143,常盤海心,5,18.8%,33.3%,0.0%,11.1%,22.2%,0.17,4.00,,,,,,,,,,
,5143,常盤海心,6,10.4%,20.0%,0.0%,10.0%,10.0%,0.22,5.00,,,,,,,,,,
,3539,金子順一,1,15.0%,76.5%,35.3%,17.6%,23.5%,0.18,3.60,,,,,,,,,,
,3539,金子順一,2,28.3%,34.4%,6.2%,25.0%,3.1%,0.17,3.90,,,,,,,,,,
,3539,金子順一,3,19.5%,31.8%,4.5%,9.1%,18.2%,0.19,3.90,,,,,,,,,,
,3539,金子順一,4,17.7%,25.0%,10.0%,5.0%,10.0%,0.19,4.60,,,,,,,,,,
