,,,,,,,,,,,,,,,,,,,,,
,日付,レース,枠番,登録番号,全国勝率,全国2連,全国3連,当地勝率,当地2連,当地3連,モーター2連,モーター3連,コース1_平均着順,コース2_平均着順,コース3_平均着順,コース4_平均着順,コース5_平均着順,コース6_平均着順,展示タイム,着順,3連単払戻金
,20260214,11,4,4146,5.86,39.22,60.78,5.03,30.3,48.48,26.74,47.67,1.0,3.5,3.0,4.0,4.0,2.0,6.76,6,¥790
,20260214,11,5,4600,6.32,47.78,65.56,5.51,33.33,56.41,35.63,57.47,1.0,6.0,4.0,2.67,2.0,,6.79,3,¥790
,20260214,11,6,5004,4.94,25.97,46.75,6.0,0.0,100.0,31.98,47.67,1.0,2.0,5.0,4.0,3.0,4.0,6.74,5,¥790
,20260214,12,1,4852,7.16,54.31,77.59,4.82,11.76,47.06,36.99,52.02,1.0,1.0,2.5,1.0,2.0,5.0,6.72,1,¥540
,20260214,12,2,4050,7.07,58.7,69.57,6.45,50.0,65.0,41.14,56.0,1.0,3.0,6.0,3.0,1.0,3.0,6.73,2,¥540
,20260214,12,3,4410,5.63,37.04,53.09,5.35,34.62,57.69,32.54,43.79,1.0,3.0,2.0,4.0,3.0,2.0,6.73,5,¥540
,20260214,12,4,3711,6.0,41.22,60.31,0.0,0.0,0.0,27.91,41.28,3.0,2.0,2.0,2.0,3.0,6.0,6.74,3,¥540
,20260214,12,5,4635,5.13,36.11,47.22,4.2,30.0,35.0,42.53,60.92,1.0,3.0,1.0,6.0,3.0,5.0,6.77,6,¥540
,20260214,12,6,4521,4.92,31.94,44.44,5.65,35.29,58.82,36.93,59.09,1.0,2.0,2.0,5.0,5.0,5.0,6.77,4,¥540
,20260213,1,1,4895,5.55,36.47,54.12,4.11,11.11,22.22,44.25,62.64,,4.0,1.0,,5.0,,6.76,1,¥610
,20260213,1,2,3690,4.58,26.09,40.22,0.0,0.0,0.0,31.61,48.28,1.0,,4.0,5.0,6.0,6.0,6.82,4,¥610
,20260213,1,3,4772,6.54,48.48,68.69,6.28,44.44,66.67,38.76,52.25,1.0,2.0,6.0,1.0,,5.0,6.75,2,¥610
,20260213,1,4,5296,3.79,19.18,31.51,3.75,14.29,28.57,26.9,42.11,,1.0,5.0,,,5.0,6.71,5,¥610
,20260213,1,5,4463,5.52,35.65,54.78,6.03,43.33,63.33,29.31,43.68,2.0,4.0,3.0,4.0,,6.0,6.76,3,¥610
,20260213,1,6,5204,4.57,14.29,42.86,3.05,9.09,22.73,38.64,57.95,4.0,4.0,,,6.0,5.0,6.75,6,¥610
,20260213,2,1,5263,4.37,21.65,40.21,0.0,0.0,0.0,27.43,48.57,,5.0,,4.0,3.0,5.0,6.71,6,"¥7,270"
,20260213,2,2,4635,5.13,36.11,47.22,4.2,30.0,35.0,42.53,60.92,1.0,,1.0,6.0,3.0,,6.75,2,"¥7,270"
,20260213,2,3,4049,6.14,36.11,61.11,5.18,40.91,40.91,38.76,54.49,1.0,5.0,4.0,4.0,6.0,,6.82,1,"¥7,270"
,20260213,2,4,3737,6.84,46.32,63.16,6.84,52.63,73.68,26.59,43.35,1.0,2.0,5.0,,1.0,4.0,6.78,3,"¥7,270"
,20260213,2,5,4589,4.94,33.33,41.67,0.0,0.0,0.0,21.6,35.8,1.0,,5.0,4.0,6.0,,6.74,4,"¥7,270"
,20260213,2,6,5264,4.84,24.1,49.4,4.12,20.77,32.31,28.9,42.77,4.0,,5.0,3.0,1.0,,6.73,5,"¥7,270"
,20260213,3,1,3769,5.17,25.0,54.55,0.0,0.0,0.0,33.14,53.49,,3.0,,2.0,3.0,4.0,6.78,4,"¥4,810"
,20260213,3,2,5036,5.02,37.76,44.9,3.93,21.43,28.57,46.15,63.91,4.0,,4.0,6.0,3.0,1.0,6.66,2,"¥4,810"
,20260213,3,3,4548,3.5,13.33,23.33,0.0,0.0,0.0,35.43,54.86,6.0,6.0,,,6.0,6.0,6.77,6,"¥4,810"
,20260213,3,4,4052,6.43,45.61,61.4,5.5,33.33,50.0,27.65,51.18,2.0,3.0,2.0,3.0,2.0,,6.80,3,"¥4,810"
,20260213,3,5,4852,7.16,54.31,77.59,4.82,11.76,47.06,36.99,52.02,1.0,1.0,3.0,1.0,,5.0,6.72,1,"¥4,810"
,20260213,3,6,4917,4.56,21.52,36.71,4.81,26.47,45.59,33.14,50.58,5.0,1.0,,3.0,2.0,,6.71,5,"¥4,810"
,20260213,4,1,4600,6.32,47.78,65.56,5.51,33.33,56.41,35.63,57.47,,6.0,4.0,2.5,2.0,,6.77,1,¥540
,20260213,4,2,4803,4.0,15.79,32.89,0.0,0.0,0.0,29.82,45.03,4.0,,4.0,,6.0,3.0,6.75,5,¥540
,20260213,4,3,4521,4.92,31.94,44.44,5.65,35.29,58.82,36.93,59.09,1.0,2.0,,5.0,5.0,5.0,6.75,2,¥540
,20260213,4,4,4063,6.12,43.41,60.47,6.93,53.57,71.43,32.16,51.46,1.0,2.0,2.0,,4.0,2.0,6.72,3,¥540
,20260213,4,5,5254,4.09,20.69,39.66,3.88,12.5,37.5,42.05,53.41,1.0,5.0,6.0,1.0,,5.0,6.74,4,¥540
,20260213,4,6,3834,4.17,16.88,35.06,3.75,25.0,25.0,41.28,59.88,6.0,6.0,,6.0,5.0,,6.84,6,¥540
,20260213,5,1,5296,3.79,19.18,31.51,3.75,14.29,28.57,26.9,42.11,,1.0,5.0,5.0,,5.0,6.68,4,"¥20,820"
,20260213,5,2,4992,4.07,25.88,31.76,3.83,16.67,33.33,33.33,47.95,1.0,,6.0,,4.0,6.0,6.79,3,"¥20,820"
,20260213,5,3,4556,6.81,52.17,71.01,8.3,80.0,100.0,31.07,51.41,1.0,3.0,2.0,2.0,,2.0,6.77,5,"¥20,820"
,20260213,5,4,3711,6.0,41.22,60.31,0.0,0.0,0.0,27.91,41.28,,2.0,2.0,2.0,3.0,6.0,6.80,2,"¥20,820"
,20260213,5,5,4050,7.07,58.7,69.57,6.45,50.0,65.0,41.14,56.0,1.0,3.0,6.0,3.0,,4.0,6.71,1,"¥20,820"
,20260213,5,6,4390,3.96,16.67,29.49,0.0,0.0,0.0,32.95,51.45,1.0,4.0,3.0,3.0,,,6.72,6,"¥20,820"
,20260213,6,1,4256,6.42,41.94,58.06,6.52,44.0,60.0,29.89,40.23,1.0,,3.0,1.0,2.0,2.0,6.76,1,"¥1,760"
,20260213,6,2,5264,4.84,24.1,49.4,4.12,20.77,32.31,28.9,42.77,4.0,,5.0,3.0,1.0,5.0,6.70,3,"¥1,760"
,20260213,6,3,5204,4.57,14.29,42.86,3.05,9.09,22.73,38.64,57.95,4.0,4.0,,,6.0,5.5,6.74,4,"¥1,760"
,20260213,6,4,4596,6.3,44.55,68.32,6.36,36.36,81.82,23.75,39.38,2.0,3.0,6.0,,6.0,4.0,6.84,6,"¥1,760"
,20260213,6,5,3842,5.21,31.34,47.76,5.47,41.18,58.82,30.81,50.58,6.0,2.0,4.0,5.0,,5.0,6.82,5,"¥1,760"
,20260213,6,6,4410,5.63,37.04,53.09,5.35,34.62,57.69,32.54,43.79,1.0,3.0,2.0,4.0,3.0,,6.73,2,"¥1,760"
,20260213,7,1,5004,4.94,25.97,46.75,6.0,0.0,100.0,31.98,47.67,,2.0,5.0,4.0,3.0,4.0,6.71,1,¥830
,20260213,7,2,4155,6.09,43.02,59.3,5.11,33.33,55.56,40.23,53.45,1.0,1.0,3.0,1.0,2.0,,6.78,2,¥830
,20260213,7,3,3838,4.98,33.33,48.48,6.27,36.36,63.64,34.46,46.89,2.0,5.0,,3.0,6.0,5.0,6.79,5,¥830
,20260213,7,4,4467,6.5,47.32,68.75,3.14,14.29,14.29,35.59,49.72,,3.0,4.0,5.0,6.0,5.0,6.78,4,¥830
,20260213,7,5,4772,6.54,48.48,68.69,6.28,44.44,66.67,38.76,52.25,1.0,2.0,4.0,1.0,,5.0,6.73,3,¥830
,20260213,7,6,4548,3.5,13.33,23.33,0.0,0.0,0.0,35.43,54.86,6.0,6.0,6.0,,6.0,6.0,6.75,6,¥830
,20260213,8,1,3505,5.58,36.11,52.78,4.23,19.23,34.62,46.02,66.48,,2.0,4.0,4.0,5.0,5.0,6.70,1,"¥1,420"
,20260213,8,2,4589,4.94,33.33,41.67,0.0,0.0,0.0,21.6,35.8,1.0,,5.0,4.0,5.33,,6.68,3,"¥1,420"
,20260213,8,3,4852,7.16,54.31,77.59,4.82,11.76,47.06,36.99,52.02,1.0,1.0,3.0,1.0,1.0,5.0,6.68,2,"¥1,420"
,20260213,8,4,4654,6.14,43.52,62.04,6.51,50.49,71.84,35.63,50.0,3.0,5.0,2.0,6.0,3.0,4.0,6.72,5,"¥1,420"
,20260213,8,5,4700,6.6,50.77,75.38,7.67,66.67,100.0,29.07,51.74,1.0,2.0,2.0,4.0,5.0,6.0,6.73,4,"¥1,420"
,20260213,8,6,4803,4.0,15.79,32.89,0.0,0.0,0.0,29.82,45.03,4.0,5.0,4.0,,6.0,3.0,6.74,6,"¥1,420"
,20260213,9,1,4050,7.07,58.7,69.57,6.45,50.0,65.0,41.14,56.0,1.0,3.0,6.0,3.0,1.0,4.0,6.70,1,"¥1,100"
,20260213,9,2,4521,4.92,31.94,44.44,5.65,35.29,58.82,36.93,59.09,1.0,2.0,2.0,5.0,5.0,5.0,6.74,2,"¥1,100"
,20260213,9,3,5263,4.37,21.65,40.21,0.0,0.0,0.0,27.43,48.57,6.0,5.0,,4.0,3.0,5.0,6.75,3,"¥1,100"
